ts,container,cpu_pct,mem_mb
1777199483,cosmos-testnet-node11,24.8,113.1
1777199483,cosmos-testnet-node13,24.57,114.5
1777199483,cosmos-testnet-node1,24.52,111.1
1777199483,cosmos-testnet-node8,24.22,105.1
1777199483,cosmos-testnet-node14,24.16,114.9
1777199483,cosmos-testnet-node2,29.08,102.3
1777199483,cosmos-testnet-node7,24.83,109.2
1777199483,cosmos-testnet-node15,24.06,116.3
1777199483,cosmos-testnet-node4,28.15,107.2
1777199483,cosmos-testnet-node12,26.11,114.8
1777199483,cosmos-testnet-node5,26.97,114.8
1777199483,cosmos-testnet-node9,28.48,106.9
1777199483,cosmos-testnet-node10,27.79,111.4
1777199483,cosmos-testnet-node3,25.33,117.4
1777199483,cosmos-testnet-node6,23.7,111.9
1777199483,cosmos-testnet-node0,33.02,105.4
1777199488,cosmos-testnet-node11,33.83,138.2
1777199488,cosmos-testnet-node13,34.93,134.3
1777199488,cosmos-testnet-node1,18.59,121.7
1777199488,cosmos-testnet-node8,29.84,134.3
1777199488,cosmos-testnet-node14,36.67,130.4
1777199488,cosmos-testnet-node2,32.75,133.8
1777199488,cosmos-testnet-node7,30.42,130.3
1777199488,cosmos-testnet-node15,32.18,142.0
1777199488,cosmos-testnet-node4,32.88,128.4
1777199488,cosmos-testnet-node12,33.65,139.0
1777199488,cosmos-testnet-node5,34.39,138.1
1777199488,cosmos-testnet-node9,31.75,138.4
1777199488,cosmos-testnet-node10,30.2,133.9
1777199488,cosmos-testnet-node3,35.16,128.3
1777199488,cosmos-testnet-node6,30.6,137.9
1777199488,cosmos-testnet-node0,35.57,126.5
1777199493,cosmos-testnet-node11,14.18,148.5
1777199493,cosmos-testnet-node13,14.98,149.6
1777199493,cosmos-testnet-node1,17.07,153.4
1777199493,cosmos-testnet-node8,14.56,146.8
1777199493,cosmos-testnet-node14,16.68,139.3
1777199493,cosmos-testnet-node2,15.76,144.8
1777199493,cosmos-testnet-node7,15.7,150.6
1777199493,cosmos-testnet-node15,14.81,157.0
1777199493,cosmos-testnet-node4,14.27,135.2
1777199493,cosmos-testnet-node12,14.51,147.4
1777199493,cosmos-testnet-node5,15.28,155.8
1777199493,cosmos-testnet-node9,14.96,141.2
1777199493,cosmos-testnet-node10,14.57,148.9
1777199493,cosmos-testnet-node3,15.95,139.4
1777199493,cosmos-testnet-node6,14.86,154.5
1777199493,cosmos-testnet-node0,18.86,139.2
1777199498,cosmos-testnet-node11,12.26,157.4
1777199498,cosmos-testnet-node13,12.38,156.2
1777199498,cosmos-testnet-node1,12.52,159.0
1777199498,cosmos-testnet-node8,12.15,158.2
1777199498,cosmos-testnet-node14,12.15,152.1
1777199498,cosmos-testnet-node2,12.6,153.5
1777199498,cosmos-testnet-node7,12.67,161.5
1777199498,cosmos-testnet-node15,12.42,161.9
1777199498,cosmos-testnet-node4,12.43,148.1
1777199498,cosmos-testnet-node12,12.35,154.5
1777199498,cosmos-testnet-node5,12.46,156.4
1777199498,cosmos-testnet-node9,12.76,148.0
1777199498,cosmos-testnet-node10,12.55,151.7
1777199498,cosmos-testnet-node3,11.98,150.2
1777199498,cosmos-testnet-node6,12.41,165.8
1777199498,cosmos-testnet-node0,17.02,149.6
1777199503,cosmos-testnet-node11,10.8,159.4
1777199503,cosmos-testnet-node13,11.36,157.0
1777199503,cosmos-testnet-node1,11.33,162.5
1777199503,cosmos-testnet-node8,11.31,163.1
1777199503,cosmos-testnet-node14,11.32,162.9
1777199503,cosmos-testnet-node2,11.77,156.8
1777199503,cosmos-testnet-node7,11.08,164.3
1777199503,cosmos-testnet-node15,10.76,162.6
1777199503,cosmos-testnet-node4,11.07,150.9
1777199503,cosmos-testnet-node12,11.18,155.3
1777199503,cosmos-testnet-node5,11.36,161.2
1777199503,cosmos-testnet-node9,10.9,162.0
1777199503,cosmos-testnet-node10,11.08,164.1
1777199503,cosmos-testnet-node3,11.25,163.1
1777199503,cosmos-testnet-node6,11.65,168.5
1777199503,cosmos-testnet-node0,16.26,157.0
1777199508,cosmos-testnet-node11,10.78,160.7
1777199508,cosmos-testnet-node13,10.91,158.3
1777199508,cosmos-testnet-node1,10.97,164.1
1777199508,cosmos-testnet-node8,11.02,165.6
1777199508,cosmos-testnet-node14,10.92,165.4
1777199508,cosmos-testnet-node2,15.03,159.5
1777199508,cosmos-testnet-node7,11.25,166.9
1777199508,cosmos-testnet-node15,10.79,164.2
1777199508,cosmos-testnet-node4,11.38,155.4
1777199508,cosmos-testnet-node12,10.73,160.3
1777199508,cosmos-testnet-node5,11.55,163.7
1777199508,cosmos-testnet-node9,14.22,161.2
1777199508,cosmos-testnet-node10,11.09,166.5
1777199508,cosmos-testnet-node3,11.29,165.6
1777199508,cosmos-testnet-node6,11.42,169.7
1777199508,cosmos-testnet-node0,15.55,164.2
1777199513,cosmos-testnet-node11,10.98,163.2
1777199513,cosmos-testnet-node13,14.48,158.7
1777199513,cosmos-testnet-node1,10.7,165.3
1777199513,cosmos-testnet-node8,14.38,165.9
1777199513,cosmos-testnet-node14,11.03,165.7
1777199513,cosmos-testnet-node2,11.16,161.8
1777199513,cosmos-testnet-node7,11.19,165.0
1777199513,cosmos-testnet-node15,10.82,164.5
1777199513,cosmos-testnet-node4,10.99,155.7
1777199513,cosmos-testnet-node12,11.01,162.7
1777199513,cosmos-testnet-node5,10.87,162.0
1777199513,cosmos-testnet-node9,10.99,161.5
1777199513,cosmos-testnet-node10,11.17,166.7
1777199513,cosmos-testnet-node3,11.12,165.9
1777199513,cosmos-testnet-node6,11.17,170.0
1777199513,cosmos-testnet-node0,15.81,164.5
1777199518,cosmos-testnet-node11,11.42,163.5
1777199518,cosmos-testnet-node13,11.58,159.0
1777199518,cosmos-testnet-node1,14.83,162.4
1777199518,cosmos-testnet-node8,11.56,166.1
1777199518,cosmos-testnet-node14,11.26,166.0
1777199518,cosmos-testnet-node2,11.29,162.1
1777199518,cosmos-testnet-node7,10.96,163.6
1777199518,cosmos-testnet-node15,11.4,164.8
1777199518,cosmos-testnet-node4,11.12,156.0
1777199518,cosmos-testnet-node12,10.86,160.5
1777199518,cosmos-testnet-node5,11.39,162.3
1777199518,cosmos-testnet-node9,11.4,161.8
1777199518,cosmos-testnet-node10,11.78,167.1
1777199518,cosmos-testnet-node3,15.34,164.2
1777199518,cosmos-testnet-node6,10.84,169.7
1777199518,cosmos-testnet-node0,16.25,164.8
1777199523,cosmos-testnet-node11,10.68,163.8
1777199523,cosmos-testnet-node13,10.37,159.2
1777199523,cosmos-testnet-node1,10.67,163.1
1777199523,cosmos-testnet-node8,10.38,166.9
1777199523,cosmos-testnet-node14,10.5,166.7
1777199523,cosmos-testnet-node2,10.54,162.8
1777199523,cosmos-testnet-node7,11.08,164.7
1777199523,cosmos-testnet-node15,10.4,165.0
1777199523,cosmos-testnet-node4,10.96,156.7
1777199523,cosmos-testnet-node12,10.68,160.8
1777199523,cosmos-testnet-node5,10.34,163.0
1777199523,cosmos-testnet-node9,10.65,162.4
1777199523,cosmos-testnet-node10,10.74,167.4
1777199523,cosmos-testnet-node3,10.49,164.9
1777199523,cosmos-testnet-node6,10.24,170.4
1777199523,cosmos-testnet-node0,19.55,165.1
1777199528,cosmos-testnet-node11,10.88,162.9
1777199528,cosmos-testnet-node13,11.12,159.5
1777199528,cosmos-testnet-node1,10.9,163.4
1777199528,cosmos-testnet-node8,10.59,167.7
1777199528,cosmos-testnet-node14,10.92,167.5
1777199528,cosmos-testnet-node2,11.13,163.0
1777199528,cosmos-testnet-node7,11.12,165.5
1777199528,cosmos-testnet-node15,11.07,165.3
1777199528,cosmos-testnet-node4,10.72,157.5
1777199528,cosmos-testnet-node12,10.67,161.0
1777199528,cosmos-testnet-node5,11.11,163.8
1777199528,cosmos-testnet-node9,10.57,162.6
1777199528,cosmos-testnet-node10,10.85,168.7
1777199528,cosmos-testnet-node3,10.74,165.7
1777199528,cosmos-testnet-node6,10.79,171.2
1777199528,cosmos-testnet-node0,15.46,165.7
1777199533,cosmos-testnet-node11,10.84,163.7
